#m lambda
0.9402 0.0469673
0.9403 0.0605949
0.9404 0.0690605
0.9405 0.0540124
0.9406 0.0325509
0.9407 0.0536987
0.9408 0.0525461
0.9409 0.0553483
0.9411 0.0401077
0.9412 0.040183
0.9413 0.0270159
0.9414 0.0571962
0.9415 0.0486426
0.9416 0.0433066
0.9417 0.0387981
0.9418 0.0395212
0.9419 0.0338937
0.941 0.041094
0.9421 0.049053
0.9422 0.0518176
0.9423 0.0417218
0.9424 0.03879
0.9425 0.0406703
0.9426 0.0565791
0.9427 0.0686533
0.9428 0.0308109
0.9429 0.0155169
0.942 0.0271763
0.9431 0.0516607
0.9432 0.0480393
0.9433 0.0397705
0.9434 0.0397697
0.9435 0.0457294
0.9436 0.0354478
0.9437 0.0539585
0.9438 0.027453
0.9439 0.0191959
0.943 0.028183
0.9441 0.0403222
0.9442 0.0418977
0.9443 0.0459984
0.9444 0.066543
0.9445 0.0458617
0.9446 0.0346805
0.9447 0.0197737
0.9448 0.0195514
0.9449 0.0422511
0.944 0.0351389
0.9451 0.0103551
0.9452 0.012379
0.9453 0.0138895
0.9454 0.0126898
0.9455 0.0119942
0.9456 0.0101914
0.9457 0.0161118
0.9458 0.0126512
0.9459 0.00950189
0.945 0.0199328
0.9461 0.0130111
0.9462 0.0135618
0.9463 0.0125149
0.9464 0.0166527
0.9465 0.0114986
0.9466 0.00984466
0.9467 0.00809481
0.9468 0.0146785
0.9469 0.008957
0.946 0.014504
0.9471 0.0150573
0.9472 0.0119393
0.9473 0.0114226
0.9474 0.00957107
0.9475 0.0124297
0.9476 0.00969943
0.9477 0.0135373
0.9478 0.00976298
0.9479 0.0108667
0.947 0.00868099
0.9481 0.0101942
0.9482 0.013891
0.9483 0.00921953
0.9484 0.00730671
0.9485 0.0104907
0.9486 0.00608998
0.9487 0.0122558
0.9488 0.00837019
0.9489 0.00870702
0.948 0.00473977
0.9491 0.00780759
0.9492 0.00983268
0.9493 0.00712138
0.9494 0.00646004
0.9495 0.0090227
0.9496 0.00460266
0.9497 0.00782312
0.9498 0.00573907
0.9499 0.0048547
0.949 0.0117477
0.94 0.0520189
0.9501 0.00419123
0.9502 0.00175909
0.9503 0.00305783
0.9504 0.00292506
0.9505 0.00303158
0.9506 0.00192211
0.9507 0.00294119
0.9508 0.00243877
0.9509 0.00272953
0.9511 0.00157439
0.9512 0.000944611
0.9513 0.00306228
0.9514 0.00257287
0.9515 0.00227979
0.9516 0.0071833
0.9517 0.000266318
0.9518 0.00163001
0.9519 0.00231882
0.951 0.00219706
0.9521 0.00331914
0.9522 0.00231466
0.9523 0.00303261
0.9524 0.00254471
0.9525 0.00290661
0.9526 0.00474757
0.9527 0.00320318
0.9528 0.00153531
0.9529 0.00127586
0.952 0.000911663
0.9531 0.00396717
0.9532 0.0084472
0.9533 0.00584863
0.9534 0.00336321
0.9535 0.00494054
0.9536 0.00401839
0.9537 0.00300811
0.9538 0.00363493
0.9539 0.004039
0.953 0.00245099
0.9541 0.00283176
0.9542 0.00335157
0.9543 0.00165833
0.9544 0.00240734
0.9545 0.00299306
0.9546 0.00294089
0.9547 0.00180118
0.9548 0.00169859
0.9549 0.00302101
0.954 0.00228641
0.9551 0.00179468
0.9552 0.00242486
0.9553 0.00127744
0.9554 0.00262413
0.9555 0.00291088
0.9556 0.00235779
0.9557 0.00213865
0.9558 0.00179707
0.9559 0.0029426
0.955 0.00150659
0.9561 0.00256744
0.9562 0.00318247
0.9563 0.00285283
0.9564 0.00296803
0.9565 0.00244719
0.9566 0.0016795
0.9567 0.00360769
0.9568 0.00260021
0.9569 0.00530562
0.956 0.00219143
0.9571 0.00607693
0.9572 0.00749334
0.9573 0.00528985
0.9574 0.00485525
0.9575 0.00628112
0.9576 0.002932
0.9577 0.00154583
0.9578 0.00476048
0.9579 0.00450213
0.957 0.00542731
0.9581 0.00295906
0.9582 0.00502616
0.9583 0.00136025
0.9584 0.00326511
0.9585 0.00266723
0.9586 0.00266834
0.9587 0.00402621
0.9588 0.00240238
0.9589 0.00224214
0.958 0.00294031
0.9591 0.00356864
0.9592 0.00389946
0.9593 0.00283401
0.9594 0.00367795
0.9595 0.00264281
0.9596 0.00254602
0.9597 0.00116972
0.9598 0.00302094
0.9599 0.00192137
0.959 0.0031125
0.95 0.00674351
0.9601 0.00110495
0.9602 0.00327602
0.9603 0.00264025
0.9604 0.00228863
0.9605 0.0016987
0.9606 0.00180478
0.9607 0.00274385
0.9608 0.00168968
0.9609 0.00204017
0.9611 0.0018566
0.9612 0.00208681
0.9613 0.00166885
0.9614 0.00148834
0.9615 0.00202612
0.9616 0.00263252
0.9617 0.00209481
0.9618 0.00141221
0.9619 0.00312066
0.961 0.00239595
0.9621 0.00139608
0.9622 0.00239122
0.9623 0.0014351
0.9624 0.00262956
0.9625 0.00126992
0.9626 0.00240622
0.9627 0.00265388
0.9628 0.00242608
0.9629 0.00118888
0.962 0.00245631
0.9631 0.0026082
0.9632 0.00200444
0.9633 0.0014092
0.9634 0.00259287
0.9635 0.00247374
0.9636 0.00138281
0.9637 0.00199723
0.9638 0.00275789
0.9639 0.00149748
0.963 0.00250692
0.9641 0.0021786
0.9642 0.00162053
0.9643 0.00179495
0.9644 0.00133821
0.9645 0.00213134
0.9646 0.00236184
0.9647 0.00123211
0.9648 0.00143349
0.9649 0.00191479
0.964 0.00239827
0.9651 0.0010971
0.9652 0.00121406
0.9653 0.00245631
0.9654 0.00125397
0.9655 0.00127888
0.9656 0.00211246
0.9657 0.00170323
0.9658 0.00117404
0.9659 0.00260238
0.965 0.00127727
0.9661 0.00236725
0.9662 0.00131229
0.9663 0.00236598
0.9664 0.00111897
0.9665 0.00236033
0.9666 0.000781277
0.9667 0.00214882
0.9668 0.00215276
0.9669 0.0019601
0.966 0.00217106
0.9671 0.00207836
0.9672 0.00116878
0.9673 0.00115879
0.9674 0.00214617
0.9675 0.00135902
0.9676 0.00215438
0.9677 0.00123692
0.9678 0.00207946
0.9679 0.0022011
0.967 0.0013746
0.9681 0.00207106
0.9682 0.00143117
0.9683 0.00267672
0.9684 0.000999449
0.9685 0.0020215
0.9686 0.0022017
0.9687 0.00238358
0.9688 0.00144484
0.9689 0.00242661
0.968 0.00143102
0.9691 0.00216549
0.9692 0.00237405
0.9693 0.00239118
0.9694 0.00244917
0.9695 0.00223446
0.9696 0.00173282
0.9697 0.00247154
0.9698 0.00218585
0.9699 0.00105129
0.969 0.00218905
0.96 0.00319556
0.9701 0.00141144
0.9702 0.00124385
0.9703 0.000851596
0.9704 0.00239792
0.9705 0.00227944
0.9706 0.00235754
0.9707 0.00219232
0.9708 0.00176695
0.9709 0.00241097
0.9711 0.00206313
0.9712 0.00118996
0.9713 0.00126872
0.9714 0.00222413
0.9715 0.00130931
0.9716 0.00202981
0.9717 0.00165718
0.9718 0.00195655
0.9719 0.00124483
0.971 0.0012105
0.9721 0.00133162
0.9722 0.00115364
0.9723 0.00120267
0.9724 0.00125506
0.9725 0.0010336
0.9726 0.00188231
0.9727 0.00093169
0.9728 0.00240759
0.9729 0.00124843
0.972 0.00245991
0.9731 0.00160279
0.9732 0.00180104
0.9733 0.00209899
0.9734 0.00225718
0.9735 0.00104487
0.9736 0.00127414
0.9737 0.001957
0.9738 0.00235054
0.9739 0.00124317
0.973 0.0012441
0.9741 0.00215812
0.9742 0.00208978
0.9743 0.00208422
0.9744 0.00252741
0.9745 0.00116347
0.9746 0.00229852
0.9747 0.00240581
0.9748 0.00105902
0.9749 0.00177578
0.974 0.00211445
0.9751 0.00170885
0.9752 0.00272667
0.9753 0.00165555
0.9754 0.00239504
0.9755 0.000968539
0.9756 0.0028348
0.9757 0.00404391
0.9758 0.00225591
0.9759 0.00554102
0.975 0.00130603
0.9761 0.00209992
0.9762 0.00123823
0.9763 0.00252574
0.9764 0.000992787
0.9765 0.00179686
0.9766 0.00190056
0.9767 0.00235689
0.9768 0.00213383
0.9769 0.00115909
0.976 0.00217241
0.9771 0.00243179
0.9772 0.00204652
0.9773 0.00135303
0.9774 0.00183596
0.9775 0.000975207
0.9776 0.00108498
0.9777 0.00182708
0.9778 0.00114632
0.9779 0.0012774
0.977 0.00320721
0.9781 0.00463229
0.9782 0.000717684
0.9783 0.00093087
0.9784 0.0121844
0.9785 0.00431402
0.9786 0.00524701
0.9787 0.00348362
0.9788 0.00970509
0.9789 0.00519846
0.978 0.00169486
0.9791 0.00317476
0.9792 0.00278268
0.9793 0.00497822
0.9794 0.00277823
0.9795 0.00157527
0.9796 0.00443877
0.9797 0.00348499
0.9798 0.00383689
0.9799 0.00315511
0.979 0.00241379
0.97 0.00194648
0.9801 0.00410396
0.9802 0.00322269
0.9803 0.0048913
0.9804 0.00364755
0.9805 0.00329353
0.9806 0.00307687
0.9807 0.00338436
