#./munderdamped_3d_gle --dev=0 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.0001 --tau=0.01 --block=1 --paths=1 --periods=100.0 --trans=80 --samples=1 --spp=100 --algorithm=predcorr --pav=1 --mode=trajectory --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/traj-f0.0-D0.0001-m1.0-a8.0-w5.0-t0.01-t1e2.dat
#t <x> <v> <x^2> <v^2> qnu(q) mu_q Dx Gx EBx
1.020264e+02 -8.047974e+01 -2.593635e+00 6.476989e+03 6.726942e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020389e+02 -8.051209e+01 -2.552077e+00 6.482197e+03 6.513099e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020515e+02 -8.054389e+01 -2.509661e+00 6.487318e+03 6.298397e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020641e+02 -8.057516e+01 -2.466109e+00 6.492356e+03 6.081693e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020766e+02 -8.060590e+01 -2.423764e+00 6.497311e+03 5.874634e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020892e+02 -8.063612e+01 -2.386243e+00 6.502185e+03 5.694154e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021018e+02 -8.066594e+01 -2.356124e+00 6.506994e+03 5.551319e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021143e+02 -8.069540e+01 -2.335518e+00 6.511748e+03 5.454644e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021269e+02 -8.072464e+01 -2.315900e+00 6.516467e+03 5.363392e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021395e+02 -8.075370e+01 -2.308755e+00 6.521160e+03 5.330351e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021520e+02 -8.078271e+01 -2.313849e+00 6.525847e+03 5.353899e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021646e+02 -8.081185e+01 -2.322145e+00 6.530555e+03 5.392356e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021772e+02 -8.084114e+01 -2.335474e+00 6.535290e+03 5.454438e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021897e+02 -8.087064e+01 -2.364417e+00 6.540061e+03 5.590467e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022023e+02 -8.090051e+01 -2.388939e+00 6.544893e+03 5.707030e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022149e+02 -8.093071e+01 -2.415122e+00 6.549780e+03 5.832816e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022274e+02 -8.096124e+01 -2.444461e+00 6.554723e+03 5.975388e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022400e+02 -8.099212e+01 -2.465608e+00 6.559723e+03 6.079225e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022526e+02 -8.102323e+01 -2.486300e+00 6.564764e+03 6.181686e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022651e+02 -8.105453e+01 -2.497452e+00 6.569837e+03 6.237264e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022777e+02 -8.108591e+01 -2.495836e+00 6.574924e+03 6.229198e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022903e+02 -8.111719e+01 -2.479585e+00 6.579998e+03 6.148340e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023028e+02 -8.114815e+01 -2.450057e+00 6.585022e+03 6.002777e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023154e+02 -8.117863e+01 -2.402009e+00 6.589971e+03 5.769645e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023280e+02 -8.120841e+01 -2.337040e+00 6.594806e+03 5.461756e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023405e+02 -8.123724e+01 -2.250802e+00 6.599488e+03 5.066108e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023531e+02 -8.126489e+01 -2.150874e+00 6.603983e+03 4.626261e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023657e+02 -8.129118e+01 -2.037814e+00 6.608256e+03 4.152686e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023782e+02 -8.131596e+01 -1.909629e+00 6.612286e+03 3.646684e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023908e+02 -8.133904e+01 -1.760813e+00 6.616040e+03 3.100462e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024034e+02 -8.136018e+01 -1.606852e+00 6.619479e+03 2.581974e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024159e+02 -8.137935e+01 -1.445233e+00 6.622599e+03 2.088698e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024285e+02 -8.139644e+01 -1.273077e+00 6.625380e+03 1.620724e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024411e+02 -8.141132e+01 -1.097888e+00 6.627804e+03 1.205358e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024536e+02 -8.142400e+01 -9.192308e-01 6.629867e+03 8.449853e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024662e+02 -8.143441e+01 -7.376786e-01 6.631563e+03 5.441698e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024788e+02 -8.144252e+01 -5.564088e-01 6.632884e+03 3.095907e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024913e+02 -8.144836e+01 -3.750224e-01 6.633836e+03 1.406418e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025039e+02 -8.145192e+01 -1.934745e-01 6.634415e+03 3.743237e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025165e+02 -8.145322e+01 -1.337248e-02 6.634628e+03 1.788232e-04 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025290e+02 -8.145227e+01 1.636599e-01 6.634472e+03 2.678457e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025416e+02 -8.144913e+01 3.323106e-01 6.633960e+03 1.104303e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025542e+02 -8.144388e+01 5.047739e-01 6.633105e+03 2.547967e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025667e+02 -8.143650e+01 6.716684e-01 6.631904e+03 4.511385e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025793e+02 -8.142706e+01 8.318905e-01 6.630367e+03 6.920418e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025919e+02 -8.141566e+01 9.819278e-01 6.628509e+03 9.641821e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026044e+02 -8.140241e+01 1.127503e+00 6.626353e+03 1.271263e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026170e+02 -8.138741e+01 1.261897e+00 6.623911e+03 1.592385e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026296e+02 -8.137077e+01 1.387231e+00 6.621203e+03 1.924409e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026421e+02 -8.135265e+01 1.496004e+00 6.618253e+03 2.238027e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026547e+02 -8.133323e+01 1.598792e+00 6.615094e+03 2.556134e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026673e+02 -8.131260e+01 1.682043e+00 6.611739e+03 2.829267e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026798e+02 -8.129102e+01 1.752458e+00 6.608230e+03 3.071108e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.026924e+02 -8.126866e+01 1.808388e+00 6.604595e+03 3.270265e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.027049e+02 -8.124570e+01 1.846577e+00 6.600863e+03 3.409848e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.027175e+02 -8.122236e+01 1.865416e+00 6.597072e+03 3.479775e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.027301e+02 -8.119888e+01 1.867985e+00 6.593259e+03 3.489367e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.027426e+02 -8.117549e+01 1.857499e+00 6.589460e+03 3.450304e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
