#./munderdamped_3d_gle --dev=0 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.0001 --tau=0.1 --block=1 --paths=1 --periods=100.0 --trans=80 --samples=1 --spp=100 --algorithm=predcorr --pav=1 --mode=trajectory --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/traj-f0.0-D0.0001-m1.0-a8.0-w5.0-t0.1-t1e2.dat
#t <x> <v> <x^2> <v^2> qnu(q) mu_q Dx Gx EBx
1.012598e+02 -1.280245e+01 -9.599800e-01 1.639028e+02 9.215616e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012724e+02 -1.281467e+01 -9.850053e-01 1.642158e+02 9.702353e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012850e+02 -1.282720e+01 -1.009016e+00 1.645371e+02 1.018112e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012975e+02 -1.284002e+01 -1.031488e+00 1.648661e+02 1.063968e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013101e+02 -1.285312e+01 -1.052680e+00 1.652026e+02 1.108135e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013226e+02 -1.286647e+01 -1.072153e+00 1.655460e+02 1.149513e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013352e+02 -1.288005e+01 -1.089784e+00 1.658957e+02 1.187629e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013478e+02 -1.289384e+01 -1.105741e+00 1.662512e+02 1.222662e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013603e+02 -1.290782e+01 -1.119428e+00 1.666119e+02 1.253119e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013729e+02 -1.292197e+01 -1.130930e+00 1.669772e+02 1.279002e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013855e+02 -1.293623e+01 -1.140126e+00 1.673461e+02 1.299888e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013980e+02 -1.295060e+01 -1.146301e+00 1.677180e+02 1.314005e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014106e+02 -1.296502e+01 -1.149303e+00 1.680918e+02 1.320897e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014232e+02 -1.297946e+01 -1.149071e+00 1.684665e+02 1.320364e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014357e+02 -1.299388e+01 -1.144893e+00 1.688408e+02 1.310780e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014483e+02 -1.300821e+01 -1.136742e+00 1.692136e+02 1.292182e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014609e+02 -1.302242e+01 -1.124136e+00 1.695834e+02 1.263681e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014734e+02 -1.303643e+01 -1.106601e+00 1.699486e+02 1.224567e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014860e+02 -1.305020e+01 -1.083928e+00 1.703076e+02 1.174899e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014986e+02 -1.306364e+01 -1.055959e+00 1.706587e+02 1.115048e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015111e+02 -1.307670e+01 -1.022143e+00 1.710000e+02 1.044777e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015237e+02 -1.308929e+01 -9.827575e-01 1.713296e+02 9.658123e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015363e+02 -1.310137e+01 -9.385656e-01 1.716458e+02 8.809053e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015488e+02 -1.311285e+01 -8.896030e-01 1.719468e+02 7.913934e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015614e+02 -1.312369e+01 -8.356029e-01 1.722313e+02 6.982322e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015740e+02 -1.313383e+01 -7.775588e-01 1.724974e+02 6.045977e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015865e+02 -1.314321e+01 -7.159215e-01 1.727440e+02 5.125436e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015991e+02 -1.315180e+01 -6.512125e-01 1.729698e+02 4.240777e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016117e+02 -1.315956e+01 -5.840650e-01 1.731740e+02 3.411320e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016242e+02 -1.316646e+01 -5.148012e-01 1.733557e+02 2.650203e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016368e+02 -1.317249e+01 -4.446598e-01 1.735145e+02 1.977224e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016494e+02 -1.317763e+01 -3.740584e-01 1.736500e+02 1.399197e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016619e+02 -1.318190e+01 -3.039052e-01 1.737624e+02 9.235840e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016745e+02 -1.318528e+01 -2.346837e-01 1.738516e+02 5.507645e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016871e+02 -1.318780e+01 -1.675040e-01 1.739182e+02 2.805758e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016996e+02 -1.318950e+01 -1.027593e-01 1.739630e+02 1.055947e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017122e+02 -1.319041e+01 -4.187338e-02 1.739869e+02 1.753380e-03 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017248e+02 -1.319058e+01 1.518826e-02 1.739913e+02 2.306832e-04 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017373e+02 -1.319006e+01 6.725141e-02 1.739776e+02 4.522752e-03 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017499e+02 -1.318892e+01 1.144114e-01 1.739475e+02 1.308997e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017625e+02 -1.318722e+01 1.560659e-01 1.739027e+02 2.435657e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017750e+02 -1.318503e+01 1.911813e-01 1.738451e+02 3.655029e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017876e+02 -1.318245e+01 2.198799e-01 1.737770e+02 4.834718e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018002e+02 -1.317955e+01 2.412752e-01 1.737006e+02 5.821373e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018127e+02 -1.317643e+01 2.551012e-01 1.736184e+02 6.507663e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018253e+02 -1.317319e+01 2.615194e-01 1.735329e+02 6.839241e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018379e+02 -1.316991e+01 2.606997e-01 1.734465e+02 6.796436e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018504e+02 -1.316669e+01 2.518514e-01 1.733617e+02 6.342915e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018630e+02 -1.316363e+01 2.351824e-01 1.732811e+02 5.531074e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018756e+02 -1.316083e+01 2.107734e-01 1.732073e+02 4.442542e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018881e+02 -1.315838e+01 1.789435e-01 1.731429e+02 3.202078e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019007e+02 -1.315638e+01 1.398603e-01 1.730902e+02 1.956091e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019133e+02 -1.315491e+01 9.394826e-02 1.730516e+02 8.826275e-03 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019258e+02 -1.315406e+01 4.117385e-02 1.730293e+02 1.695286e-03 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019384e+02 -1.315392e+01 -1.839658e-02 1.730255e+02 3.384342e-04 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019510e+02 -1.315456e+01 -8.445995e-02 1.730425e+02 7.133482e-03 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019635e+02 -1.315607e+01 -1.557754e-01 1.730822e+02 2.426598e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019761e+02 -1.315851e+01 -2.319753e-01 1.731463e+02 5.381254e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019887e+02 -1.316193e+01 -3.124732e-01 1.732364e+02 9.763952e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020012e+02 -1.316638e+01 -3.964080e-01 1.733537e+02 1.571393e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020138e+02 -1.317191e+01 -4.834335e-01 1.734993e+02 2.337080e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020264e+02 -1.317855e+01 -5.727581e-01 1.736741e+02 3.280518e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020389e+02 -1.318631e+01 -6.628355e-01 1.738788e+02 4.393509e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020515e+02 -1.319521e+01 -7.533554e-01 1.741136e+02 5.675443e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020641e+02 -1.320525e+01 -8.435671e-01 1.743785e+02 7.116055e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020766e+02 -1.321640e+01 -9.324799e-01 1.746734e+02 8.695187e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020892e+02 -1.322867e+01 -1.018966e+00 1.749976e+02 1.038292e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021018e+02 -1.324199e+01 -1.102256e+00 1.753504e+02 1.214968e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021143e+02 -1.325634e+01 -1.180594e+00 1.757305e+02 1.393802e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021269e+02 -1.327164e+01 -1.254047e+00 1.761364e+02 1.572633e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021395e+02 -1.328782e+01 -1.321517e+00 1.765662e+02 1.746407e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021520e+02 -1.330482e+01 -1.382745e+00 1.770181e+02 1.911984e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021646e+02 -1.332253e+01 -1.436774e+00 1.774898e+02 2.064320e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021772e+02 -1.334088e+01 -1.483996e+00 1.779792e+02 2.202243e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.021897e+02 -1.335978e+01 -1.524109e+00 1.784838e+02 2.322909e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022023e+02 -1.337914e+01 -1.556538e+00 1.790014e+02 2.422809e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022149e+02 -1.339886e+01 -1.582145e+00 1.795295e+02 2.503182e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022274e+02 -1.341887e+01 -1.601390e+00 1.800659e+02 2.564449e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022400e+02 -1.343908e+01 -1.615053e+00 1.806087e+02 2.608397e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022526e+02 -1.345943e+01 -1.624395e+00 1.811562e+02 2.638661e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022651e+02 -1.347987e+01 -1.629044e+00 1.817069e+02 2.653785e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022777e+02 -1.350035e+01 -1.630484e+00 1.822594e+02 2.658478e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.022903e+02 -1.352083e+01 -1.629348e+00 1.828129e+02 2.654775e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023028e+02 -1.354129e+01 -1.627158e+00 1.833665e+02 2.647645e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023154e+02 -1.356172e+01 -1.624000e+00 1.839202e+02 2.637377e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023280e+02 -1.358211e+01 -1.621703e+00 1.844738e+02 2.629920e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023405e+02 -1.360249e+01 -1.620575e+00 1.850276e+02 2.626263e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023531e+02 -1.362286e+01 -1.621273e+00 1.855822e+02 2.628527e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023657e+02 -1.364326e+01 -1.625518e+00 1.861384e+02 2.642309e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
