#./overdamped_3d --dev=1 --amp=250.0 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_0.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
3.019946e+00 2.151820e+00 9.191485e-01 8.475680e+04 6.740530e+00 1.220520e-01 1.587629e-03
3.114099e+00 2.221720e+00 9.918041e-01 9.069468e+04 7.215449e+00 6.505227e-02 1.626730e-03
3.211188e+00 2.296729e+00 8.866801e-01 8.364526e+04 6.650130e+00 1.911974e-02 1.480103e-03
3.311304e+00 2.373009e+00 1.018873e+00 9.839046e+04 7.840610e+00 6.000113e-02 1.570463e-03
3.414541e+00 2.450002e+00 1.010700e+00 9.681227e+04 7.704373e+00 5.559242e-02 1.500130e-03
3.520998e+00 2.521184e+00 9.931153e-01 1.062466e+05 8.456858e+00 4.331255e-02 1.556516e-03
3.630773e+00 2.600899e+00 9.721549e-01 1.136326e+05 8.995438e+00 -2.219325e-02 1.479626e-03
3.743970e+00 2.671200e+00 8.998543e-01 9.479628e+04 7.519753e+00 9.203529e-02 1.262426e-03
3.860697e+00 2.751358e+00 9.670942e-01 1.076679e+05 8.573996e+00 2.439715e-01 1.349688e-03
3.981063e+00 2.832200e+00 9.858811e-01 1.129696e+05 8.983978e+00 1.222395e-01 1.305461e-03
4.105181e+00 2.908096e+00 9.853573e-01 1.178018e+05 9.360858e+00 2.880871e-02 1.263380e-03
4.233170e+00 2.986427e+00 9.990028e-01 1.243882e+05 9.890525e+00 1.009336e-01 1.329541e-03
4.365148e+00 3.070380e+00 1.004030e+00 1.327947e+05 1.058571e+01 3.278279e-02 1.299500e-03
4.501241e+00 3.149221e+00 9.476408e-01 1.257001e+05 9.994931e+00 1.685256e-01 1.184106e-03
4.641578e+00 3.226412e+00 9.327653e-01 1.341993e+05 1.072577e+01 -5.846465e-02 1.304984e-03
4.786289e+00 3.307744e+00 1.000511e+00 1.430055e+05 1.136239e+01 1.222122e-02 1.301646e-03
4.935513e+00 3.387250e+00 9.743587e-01 1.512999e+05 1.201429e+01 -3.333247e-02 1.273394e-03
5.089388e+00 3.467387e+00 1.007938e+00 1.512960e+05 1.194299e+01 8.280456e-02 1.202583e-03
5.248061e+00 3.542704e+00 9.619244e-01 1.657102e+05 1.319840e+01 -6.156319e-02 1.275182e-03
5.411681e+00 3.619899e+00 9.474122e-01 1.670230e+05 1.330535e+01 -1.735765e-02 1.197815e-03
5.580403e+00 3.689476e+00 9.436432e-01 1.739927e+05 1.382229e+01 4.053569e-02 1.103044e-03
5.754384e+00 3.740704e+00 9.804910e-01 1.641810e+05 1.308381e+01 -4.775268e-02 1.116753e-03
5.933790e+00 3.780465e+00 9.925169e-01 1.854376e+05 1.476958e+01 9.495533e-02 1.217127e-03
6.118789e+00 3.783282e+00 9.968670e-01 1.944300e+05 1.548769e+01 -8.061492e-02 1.221299e-03
6.309556e+00 3.757764e+00 1.007091e+00 2.035761e+05 1.622617e+01 1.254964e-01 1.206160e-03
6.506271e+00 3.702028e+00 9.754109e-01 1.959625e+05 1.556917e+01 1.905537e-02 1.246452e-03
6.709118e+00 3.614337e+00 1.010277e+00 2.227536e+05 1.776678e+01 7.088172e-02 1.440883e-03
6.918290e+00 3.494303e+00 1.024388e+00 2.417755e+05 1.918008e+01 -3.196895e-02 1.554012e-03
7.133984e+00 3.354841e+00 9.445859e-01 2.276718e+05 1.820733e+01 -1.323412e-01 1.523018e-03
7.356401e+00 3.208148e+00 9.836359e-01 2.521919e+05 2.001533e+01 -3.480846e-02 1.692891e-03
7.585754e+00 3.056686e+00 1.012207e+00 2.734492e+05 2.176476e+01 4.742110e-02 1.775503e-03
7.822257e+00 2.899697e+00 1.005004e+00 2.948778e+05 2.343779e+01 3.606212e-02 1.924157e-03
8.066133e+00 2.747541e+00 9.817358e-01 3.230910e+05 2.566342e+01 1.195540e-01 2.014756e-03
8.317613e+00 2.592602e+00 9.635346e-01 3.363372e+05 2.673931e+01 -1.958406e-02 2.131581e-03
8.576933e+00 2.440611e+00 1.046376e+00 3.685492e+05 2.934817e+01 3.119338e-02 2.314329e-03
8.844338e+00 2.303518e+00 1.043966e+00 3.921187e+05 3.123384e+01 7.299662e-03 2.406359e-03
9.120080e+00 2.170578e+00 9.957770e-01 3.900656e+05 3.101739e+01 -7.611781e-02 2.568841e-03
9.404419e+00 2.033165e+00 9.931175e-01 4.179231e+05 3.324683e+01 -2.336264e-03 2.505422e-03
9.697623e+00 1.902745e+00 1.005885e+00 4.325676e+05 3.443986e+01 -2.868128e-02 2.404690e-03
9.999969e+00 1.782601e+00 9.825538e-01 4.596733e+05 3.657954e+01 2.656829e-02 2.421379e-03
1.031174e+01 1.659180e+00 9.900362e-01 4.361648e+05 3.471552e+01 4.063332e-02 2.314448e-03
1.063323e+01 1.552100e+00 1.022337e+00 4.878393e+05 3.883635e+01 9.290600e-02 2.607465e-03
1.096475e+01 1.434081e+00 1.020576e+00 4.872917e+05 3.877651e+01 1.431696e-01 2.558947e-03
1.130660e+01 1.324205e+00 1.014240e+00 5.033699e+05 4.006376e+01 5.713749e-02 2.410293e-03
1.165911e+01 1.234201e+00 9.708634e-01 5.234717e+05 4.166072e+01 3.462493e-02 2.503872e-03
1.202261e+01 1.140584e+00 9.590550e-01 5.175758e+05 4.118866e+01 2.360880e-02 2.337575e-03
1.239744e+01 1.053810e+00 9.294204e-01 4.874578e+05 3.878447e+01 -3.777099e-02 2.337456e-03
1.278396e+01 9.597458e-01 9.886115e-01 5.780459e+05 4.600374e+01 -5.459130e-03 2.474427e-03
1.318252e+01 8.868920e-01 1.021921e+00 6.102948e+05 4.856581e+01 -6.284177e-03 2.697825e-03
1.359352e+01 8.062010e-01 1.009363e+00 5.872692e+05 4.673171e+01 -7.855654e-03 2.470136e-03
1.401733e+01 7.254601e-01 9.995416e-01 5.542112e+05 4.410311e+01 -5.259383e-02 2.321601e-03
1.445435e+01 6.635951e-01 1.004892e+00 6.363026e+05 5.063706e+01 3.048897e-02 2.423882e-03
1.490500e+01 6.069425e-01 9.720068e-01 6.013769e+05 4.785622e+01 1.013649e-01 2.510786e-03
1.536969e+01 5.465391e-01 9.583996e-01 6.354772e+05 5.056989e+01 5.889058e-03 2.414703e-03
