#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=1.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_1.0.dat
#s <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.964868e+00 -1.016926e-06 5.936847e+00 -1.645370e-02 2.387902e-02 1.900232e-06 8.909684e-02 8.414969e-02 5.350292e-04 1.474682e+03
2.026127e+00 -2.703222e-07 6.114092e+00 9.513140e-02 2.710907e-02 2.157271e-06 4.361555e-01 6.604409e-02 5.511628e-04 2.307360e+04
2.089296e+00 -3.467145e-07 6.307427e+00 2.372144e-02 2.607165e-02 2.074716e-06 7.677380e-02 1.408419e-01 5.331256e-04 1.315781e+04
2.154435e+00 -2.850134e-07 6.497047e+00 4.206622e-02 2.727871e-02 2.170771e-06 1.102132e-01 1.542157e-01 5.728164e-04 2.013243e+04
2.221604e+00 -1.694223e-06 6.691468e+00 -1.955904e-03 2.725310e-02 2.168733e-06 2.114795e-01 2.272636e-01 5.864803e-04 6.015073e+02
2.290868e+00 -1.594125e-06 6.898362e+00 8.807712e-02 3.026908e-02 2.408736e-06 1.943068e-01 1.596441e-01 5.424427e-04 7.272036e+02
2.362291e+00 -8.451455e-07 7.111617e+00 -1.317227e-01 2.577422e-02 2.051048e-06 2.138149e-01 4.345121e-02 5.815349e-04 2.382579e+03
2.435940e+00 1.787440e-07 7.318185e+00 -3.490754e-02 2.865778e-02 2.280514e-06 1.453841e-01 8.488455e-02 5.766514e-04 5.549459e+04
2.511886e+00 2.959838e-06 7.543857e+00 3.241877e-02 3.180654e-02 2.531084e-06 3.426291e-01 1.039263e-01 5.007496e-04 2.253786e+02
2.590200e+00 -1.239182e-06 7.769048e+00 -3.340001e-02 3.057382e-02 2.432987e-06 1.167604e-01 2.480824e-01 5.677328e-04 1.271842e+03
2.670956e+00 1.039366e-06 8.012028e+00 -7.616026e-02 3.077520e-02 2.449013e-06 1.359899e-01 9.037151e-02 5.435082e-04 1.930986e+03
2.754229e+00 1.122616e-06 8.242912e+00 -6.132162e-02 3.179506e-02 2.530171e-06 2.679980e-01 -3.419642e-04 4.788521e-04 1.534527e+03
2.840098e+00 -1.290590e-07 8.511526e+00 -3.298944e-03 3.430841e-02 2.730176e-06 2.639679e-01 9.564426e-02 5.137854e-04 1.217519e+05
2.928645e+00 3.689609e-06 8.762700e+00 -7.443336e-03 3.569651e-02 2.840638e-06 2.271860e-01 1.232437e-01 4.950545e-04 1.704354e+02
3.019952e+00 -9.894925e-07 9.038831e+00 -8.504986e-02 3.429957e-02 2.729473e-06 7.809735e-02 3.299455e-01 5.593454e-04 2.215548e+03
3.114106e+00 2.455567e-06 9.315713e+00 -5.243994e-02 3.601782e-02 2.866207e-06 1.332574e-01 1.180833e-01 5.469449e-04 3.683152e+02
3.211195e+00 -1.926667e-06 9.606573e+00 -9.564250e-03 3.863087e-02 3.074147e-06 2.216032e-01 1.692009e-01 5.562952e-04 6.167368e+02
3.311311e+00 -2.527350e-07 9.891853e+00 5.949558e-03 4.082046e-02 3.248389e-06 1.547840e-01 2.193943e-01 5.502500e-04 4.029847e+04
3.414549e+00 3.371935e-06 1.020829e+01 -4.082888e-03 4.150785e-02 3.303090e-06 3.597202e-01 1.694458e-01 5.374756e-04 2.240569e+02
3.521005e+00 -2.538643e-06 1.050973e+01 5.307827e-02 4.538486e-02 3.611613e-06 2.473156e-01 2.789063e-01 5.722999e-04 4.635639e+02
3.630781e+00 2.444810e-06 1.082956e+01 1.822556e-02 4.551753e-02 3.622170e-06 1.920447e-01 2.345878e-01 5.408759e-04 4.819477e+02
3.743978e+00 1.007450e-06 1.115743e+01 1.875567e-02 4.675190e-02 3.720398e-06 4.735560e-01 1.369054e-01 5.390052e-04 2.861770e+03
3.860705e+00 -7.989507e-07 1.149953e+01 1.053846e-02 4.787956e-02 3.810134e-06 1.429583e-01 2.253809e-01 5.735621e-04 4.817142e+03
3.981072e+00 1.982995e-06 1.187927e+01 5.674734e-02 5.195576e-02 4.134508e-06 2.044899e-01 2.144581e-01 5.546557e-04 8.314567e+02
4.105191e+00 1.154176e-06 1.222084e+01 6.785319e-02 5.374395e-02 4.276808e-06 2.977500e-01 1.476056e-01 5.207173e-04 2.472935e+03
4.233179e+00 3.765384e-07 1.260609e+01 6.339268e-02 5.516345e-02 4.389768e-06 2.886377e-01 2.719331e-01 5.722270e-04 2.393038e+04
4.365158e+00 -4.577719e-08 1.298855e+01 5.456632e-03 5.365975e-02 4.270107e-06 2.755345e-01 1.160186e-01 5.613140e-04 1.611417e+06
4.501252e+00 -1.397091e-06 1.338751e+01 -9.270978e-02 5.043748e-02 4.013687e-06 1.764118e-01 3.924554e-01 5.716005e-04 1.523954e+03
4.641589e+00 -1.911723e-06 1.380426e+01 6.075399e-02 1.004128e-01 7.990597e-06 5.694048e+01 1.269391e-01 5.438886e-04 1.059450e+03
